iter	Passed	Remaining
404	7842	1839
405	7861	1820
406	7881	1800
407	7899	1781
408	7918	1761
409	7936	1742
410	7956	1722
411	7975	1703
412	7995	1684
413	8015	1665
414	8034	1645
415	8053	1626
416	8073	1606
417	8092	1587
418	8112	1568
419	8131	1548
420	8150	1529
421	8169	1510
422	8189	1490
423	8208	1471
424	8226	1451
425	8244	1432
426	8263	1412
427	8283	1393
428	8302	1374
429	8322	1354
430	8342	1335
431	8361	1316
432	8380	1296
433	8399	1277
434	8417	1257
435	8437	1238
436	8455	1218
437	8474	1199
438	8493	1180
439	8512	1160
440	8531	1141
441	8550	1121
442	8569	1102
443	8588	1083
444	8607	1063
445	8626	1044
446	8646	1025
447	8665	1005
448	8684	986
449	8703	967
450	8721	947
451	8740	928
452	8760	908
453	8779	889
454	8798	870
455	8818	850
456	8837	831
457	8856	812
458	8875	792
459	8894	773
460	8912	754
461	8931	734
462	8951	715
463	8970	695
464	8990	676
465	9009	657
466	9029	638
467	9049	618
468	9070	599
469	9090	580
470	9109	560
471	9128	541
472	9147	522
473	9167	502
474	9186	483
475	9205	464
476	9224	444
477	9243	425
478	9262	406
479	9280	386
480	9299	367
481	9318	347
482	9337	328
483	9356	309
484	9376	289
485	9396	270
486	9416	251
487	9435	232
488	9455	212
489	9473	193
490	9493	174
491	9512	154
492	9531	135
493	9549	115
494	9569	96
495	9587	77
496	9606	57
497	9625	38
498	9646	19
499	9665	0
