iter	Logloss
0	0.6159002771
1	0.5572772209
2	0.5137571423
3	0.4760114715
4	0.440377928
5	0.4154538457
6	0.3968521324
7	0.3801706346
8	0.363390899
9	0.3485086096
10	0.3385351855
11	0.3280720248
12	0.3201556123
13	0.3069756342
14	0.2989956424
15	0.2924277615
16	0.2856652456
17	0.2800991824
18	0.2754859873
19	0.2674807342
20	0.2623512734
21	0.2591982396
22	0.2545147695
23	0.2507048901
24	0.247900402
25	0.242524105
26	0.239277234
27	0.2374302468
28	0.2353231181
29	0.2315599504
30	0.2275358301
31	0.2256873241
32	0.2228326165
33	0.2209079942
34	0.2188824933
35	0.2155378434
36	0.2134387583
37	0.2111842374
38	0.2086133956
39	0.2059634198
40	0.2043556812
41	0.201828559
42	0.1992183235
43	0.1976985353
44	0.1954535683
45	0.1935326476
46	0.1914723048
47	0.189789118
48	0.1873633003
49	0.1861589518
50	0.1845937606
51	0.182323705
52	0.1802779885
53	0.1787543538
54	0.1776351343
55	0.1757922318
56	0.1726984462
57	0.171352498
58	0.1700394463
59	0.1688074779
60	0.1676969133
61	0.1666484606
62	0.1651152668
63	0.1640857672
64	0.1628665114
65	0.1611307249
66	0.1595964486
67	0.1581091607
68	0.1569744171
69	0.1549905934
70	0.1540691168
71	0.1533457432
72	0.1521254787
73	0.150708596
74	0.1489562814
75	0.1471988874
76	0.146317665
77	0.1455125134
78	0.1445286952
79	0.1433901683
80	0.1423516806
81	0.1414951298
82	0.1396905765
83	0.138422532
84	0.1372451849
85	0.1360052809
86	0.1348399228
87	0.1341287907
88	0.1333907715
89	0.1325638123
90	0.1313935247
91	0.1304275984
92	0.1296321503
93	0.1285451967
94	0.1270494097
95	0.1264729004
96	0.125158372
97	0.1244999265
98	0.1230571086
99	0.1219643598
100	0.1209852152
101	0.1200948106
102	0.1196550446
103	0.1189189585
104	0.1184759251
105	0.1178628428
106	0.1171048334
107	0.1165004055
108	0.1153293178
109	0.1142278103
110	0.1131916011
111	0.1118975784
112	0.1117901989
113	0.1108050592
114	0.1101312545
115	0.1097368898
116	0.1095733016
117	0.1085846595
118	0.1077285162
119	0.1068896301
120	0.1058125166
121	0.105088689
122	0.1042315769
123	0.103821789
124	0.1031017824
125	0.1023651549
126	0.1022700447
127	0.1015186824
128	0.1003974827
129	0.09929450034
130	0.09907756273
131	0.09840045922
132	0.09727495401
133	0.09662662281
134	0.09578559253
135	0.09517078753
136	0.09464831488
137	0.09403094271
138	0.09296175905
139	0.09203343454
140	0.09140177474
141	0.09099598099
142	0.09039469025
143	0.08980020613
144	0.08903381412
145	0.08853514069
146	0.08793924797
147	0.08716409799
